price,area,type,road_width,width,floors,parking_slots,bedrooms,district_Quận Cầu Giấy,district_Quận Tây Hồ,district_Quận Đống Đa,district_Quận Ba Đình,district_Quận Hai Bà Trưng,district_Quận Thanh Xuân,district_Quận Nam Từ Liêm,district_Quận Hà Đông,district_Quận Long Biên,district_Quận Bắc Từ Liêm,district_Quận Hoàng Mai
14.0,52.0,1,8.0,4.0,5.0,1,4.0,1,0,0,0,0,0,0,0,0,0,0
8.3,58.0,1,10.0,4.0,4.0,2,4.0,0,0,0,0,0,0,0,0,0,1,0
8.6,68.0,1,8.0,5.1,3.0,2,3.0,1,0,0,0,0,0,0,0,0,0,0
8.0,36.0,1,5.0,4.0,5.0,2,3.0,1,0,0,0,0,0,0,0,0,0,0
8.0,30.0,1,5.0,4.0,6.0,2,4.0,0,1,0,0,0,0,0,0,0,0,0
7.95,48.0,0,7.0,6.5,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
3.88,35.0,0,3.0,4.0,5.0,0,3.0,0,0,0,0,0,0,0,1,0,0,0
6.8,37.0,1,12.0,3.5,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
5.8,38.0,0,6.0,4.0,5.0,2,4.0,0,0,0,0,0,0,0,1,0,0,0
4.75,35.0,0,5.0,3.5,5.0,1,3.0,0,0,0,0,0,0,0,1,0,0,0
4.95,40.0,0,6.0,6.4,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
5.6,40.0,0,5.0,9.3,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
3.85,40.0,0,3.0,8.0,4.0,0,3.0,0,0,0,0,0,0,0,1,0,0,0
7.95,48.0,0,7.0,6.5,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
4.85,35.0,0,4.0,6.0,5.0,0,3.0,0,0,0,0,0,0,0,1,0,0,0
6.8,37.0,1,12.0,3.5,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
5.6,40.0,0,5.0,9.3,5.0,1,4.0,0,0,0,0,0,0,0,1,0,0,0
5.8,38.0,0,6.0,4.0,5.0,2,4.0,0,0,0,0,0,0,0,1,0,0,0
3.7,33.0,0,3.0,4.0,5.0,0,3.0,0,0,0,0,0,0,0,1,0,0,0
13.5,75.0,1,4.0,10.0,7.0,1,11.0,0,0,0,0,0,1,0,0,0,0,0
15.0,45.0,1,7.0,4.6,5.0,0,4.0,0,0,1,0,0,0,0,0,0,0,0
32.0,78.0,1,20.0,5.2,8.0,4,8.0,0,0,1,0,0,0,0,0,0,0,0
45.5,134.0,1,25.0,11.0,4.0,4,4.0,0,0,1,0,0,0,0,0,0,0,0
17.2,71.0,0,15.0,4.0,5.0,4,6.0,0,0,1,0,0,0,0,0,0,0,0
28.0,71.0,1,30.0,8.0,5.0,4,4.0,0,0,0,1,0,0,0,0,0,0,0
26.5,62.0,1,9.0,5.4,7.0,4,4.0,0,0,1,0,0,0,0,0,0,0,0
